"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","c","a","b","b","a","b","a","a","c","b","c","c","c","c","a","c","c","c","b"
"2","c","b","c","b","b","c","c","b","c","a","a","c","c","c","a","c","c","c","b"
"3","a","b","b","c","b","b","a","b","b","b","b","c","a","a","a","b","c","c","a"
"4","a","c","c","c","b","a","a","b","c","b","c","c","b","c","b","a","a","b","a"
"5","b","a","c","c","a","a","a","a","a","b","c","a","b","a","a","a","b","b","b"
"6","c","c","c","a","b","a","a","b","c","b","c","b","a","a","b","b","b","b","c"
"7","a","b","a","b","c","b","a","a","b","b","c","b","a","a","b","b","a","a","a"
"8","c","b","b","b","c","b","b","a","c","a","c","b","b","a","a","a","c","c","a"
"9","b","b","b","c","c","c","a","a","c","a","b","c","a","a","c","a","b","a","a"
"10","a","a","b","a","a","a","b","a","a","b","c","c","a","a","c","c","c","c","c"
"11","b","b","b","c","a","a","a","b","a","c","b","c","b","c","b","c","b","b","c"
"12","a","b","b","a","b","a","a","b","b","b","c","a","b","a","c","c","c","a","a"
"13","b","b","a","b","c","a","a","a","b","a","b","a","c","c","c","c","a","c","a"
"14","b","b","b","b","c","a","a","c","b","b","c","a","b","c","a","a","a","a","b"
"15","b","a","a","c","a","c","a","a","a","b","c","c","c","c","c","c","a","b","a"
"16","a","b","b","b","a","c","a","a","b","c","b","c","c","b","a","b","a","c","a"
"17","a","b","c","a","b","a","c","c","c","b","a","a","c","c","c","a","c","b","a"
"18","c","c","b","c","a","b","b","a","c","b","c","c","c","b","c","c","c","c","a"
"19","b","a","b","b","c","b","b","a","b","b","c","a","b","c","b","b","b","c","c"
"20","c","c","c","a","a","b","a","a","b","b","c","c","c","b","a","a","a","a","a"
"21","c","c","b","a","c","b","a","c","a","c","a","b","b","c","a","a","b","a","a"
"22","a","b","b","b","c","b","b","a","b","b","b","c","c","c","a","c","a","a","a"
"23","b","c","a","b","a","c","b","b","a","b","b","c","a","a","a","b","a","a","a"
"24","b","b","c","b","c","c","a","c","b","b","c","a","b","a","c","a","a","a","a"
"25","b","b","b","c","c","b","b","a","b","b","c","a","b","b","a","c","c","b","a"
"26","c","a","b","b","a","a","a","a","b","b","c","b","a","a","a","a","a","c","b"
"27","c","b","b","b","c","a","a","c","b","b","a","b","a","a","b","b","a","c","a"
"28","b","b","a","b","a","c","b","b","a","b","a","b","a","a","c","a","c","b","c"
"29","b","a","b","b","a","c","b","a","c","b","c","a","b","a","a","a","a","c","a"
"30","b","c","a","b","a","a","a","c","a","a","b","c","a","a","a","a","c","c","a"
"31","a","b","c","b","a","c","b","c","c","b","c","b","c","c","a","a","a","c","a"
"32","a","b","a","c","c","a","a","c","a","b","c","b","a","a","a","a","a","a","a"
"33","b","b","b","a","a","a","a","a","c","b","c","c","b","a","b","a","a","c","a"
"34","b","b","a","b","a","b","b","c","a","c","c","b","a","a","a","a","c","c","a"
"35","b","c","c","c","a","a","b","b","a","b","b","c","a","a","a","c","c","b","a"
"36","c","b","b","a","c","a","a","c","b","c","a","b","b","b","a","a","a","b","b"
"37","b","b","c","b","a","b","a","a","c","b","c","a","b","c","a","a","c","b","a"
"38","c","a","c","a","c","a","b","a","b","b","c","c","b","c","a","a","b","b","a"
"39","b","b","b","b","c","c","a","c","b","b","c","c","c","c","a","a","a","a","b"
"40","b","a","c","b","a","c","a","a","b","b","c","a","b","a","a","a","c","b","c"
"41","c","b","c","b","a","c","a","a","b","c","b","c","a","a","c","c","c","c","a"
"42","b","b","b","b","a","c","a","a","b","b","c","b","a","a","b","c","a","c","a"
"43","c","c","b","b","a","a","a","a","a","c","c","a","a","b","a","a","b","b","b"
"44","b","b","c","b","b","a","a","b","b","b","c","a","b","a","c","c","b","b","a"
"45","c","b","c","b","a","a","a","a","b","c","b","c","b","b","a","a","a","a","a"
"46","c","a","b","a","c","a","a","a","b","b","b","b","a","a","b","a","a","c","a"
"47","a","c","c","b","a","c","a","a","c","b","c","b","b","c","a","a","a","a","a"
"48","a","b","b","b","b","c","a","b","c","b","a","b","b","a","b","a","a","c","a"
"49","c","c","c","a","c","a","b","a","b","b","c","b","a","a","c","a","c","b","a"
"50","a","b","b","b","c","b","a","c","b","b","c","b","a","a","a","a","c","c","a"
"51","a","b","a","c","a","a","a","a","b","c","b","c","a","c","c","a","b","b","c"
"52","b","c","c","b","c","a","b","a","b","c","b","c","b","c","c","b","a","c","a"
"53","c","b","b","a","b","a","a","a","c","b","c","a","b","c","c","a","c","c","a"
"54","a","b","c","b","c","c","a","c","a","b","b","c","a","b","c","c","a","b","a"
"55","a","b","a","b","b","c","b","c","b","b","c","a","b","a","a","a","a","a","a"
"56","c","b","b","a","b","a","a","b","b","b","c","c","b","b","a","b","a","c","a"
"57","b","b","a","c","c","b","a","c","b","c","b","c","a","b","c","a","a","c","a"
"58","c","b","c","a","a","a","a","a","b","c","c","a","b","b","b","b","b","b","a"
"59","b","c","b","c","c","c","b","a","b","c","a","b","a","a","a","a","c","b","b"
"60","c","c","b","b","c","c","a","a","c","b","c","b","a","a","a","a","a","a","a"
"61","a","b","a","a","a","b","a","c","a","a","a","b","b","a","b","a","a","a","a"
"62","b","b","b","a","c","b","a","b","b","a","a","c","c","c","a","a","a","a","b"
"63","c","c","b","c","c","b","a","c","b","a","a","b","a","a","b","a","a","c","a"
"64","c","a","c","a","b","a","a","a","c","a","b","c","b","c","b","b","b","b","c"
"65","b","a","c","b","a","c","a","a","a","c","a","b","a","c","c","a","b","b","c"
"66","a","a","c","b","a","a","b","b","c","c","c","c","b","c","b","b","c","c","c"
"67","b","a","a","c","b","a","b","a","a","c","c","b","a","a","a","a","b","b","c"
"68","c","b","b","b","a","c","a","a","b","b","c","c","c","c","c","a","c","c","a"
"69","a","b","b","b","a","c","a","a","b","b","b","a","c","c","c","a","c","c","a"
"70","a","a","a","a","c","a","a","c","b","b","c","a","b","a","a","a","a","a","a"
"71","b","b","c","c","c","a","a","c","b","b","c","a","b","a","c","c","c","c","a"
"72","a","c","c","c","a","a","a","a","a","a","c","b","a","a","c","a","b","b","b"
"73","a","a","c","c","b","b","a","a","b","b","c","b","a","a","c","c","a","a","b"
"74","c","c","b","a","c","a","a","c","b","b","c","b","a","a","c","c","c","c","a"
"75","c","c","c","a","a","b","a","a","c","b","c","b","a","a","b","c","b","b","b"
"76","c","b","c","a","a","b","c","a","b","b","c","a","a","a","c","c","c","c","a"
"77","a","b","b","a","a","b","a","a","a","b","c","c","b","c","a","a","c","c","a"
"78","b","c","b","a","a","b","a","a","b","a","c","b","a","a","a","a","c","c","a"
"79","b","b","c","b","a","b","a","a","b","a","a","b","b","c","b","b","b","b","a"
"80","a","a","b","b","c","c","c","a","b","c","a","b","b","b","a","a","a","c","a"
"81","b","b","b","a","c","b","a","a","a","b","c","a","b","a","a","c","c","b","b"
"82","a","a","c","c","a","b","a","a","a","c","b","c","a","a","a","a","a","c","a"
"83","b","a","c","c","c","c","a","c","b","a","b","c","a","c","a","a","a","b","a"
"84","a","a","a","b","a","c","a","a","b","b","b","a","c","c","a","a","c","a","a"
"85","c","b","b","b","a","a","a","a","a","b","c","b","a","b","a","c","c","c","b"
"86","b","c","c","b","c","a","a","a","b","b","c","a","c","c","c","a","c","b","a"
"87","b","c","c","b","c","a","b","a","b","b","c","b","b","a","a","a","a","a","a"
"88","c","b","c","a","b","c","c","c","b","b","c","c","c","c","c","a","c","b","c"
"89","b","a","c","c","a","c","a","a","b","b","b","c","b","c","a","a","a","a","b"
"90","a","b","a","a","a","b","a","a","b","b","c","b","a","a","a","a","a","a","a"
"91","b","b","b","c","b","a","a","b","a","b","c","b","a","a","a","b","c","b","a"
"92","c","c","c","b","b","c","a","b","b","a","c","c","b","c","a","a","c","c","a"
"93","a","c","b","c","a","b","a","a","a","a","c","a","a","a","a","a","c","c","a"
"94","b","a","b","c","c","a","b","a","b","a","c","a","b","a","a","a","b","c","c"
"95","a","b","b","c","a","a","a","a","c","b","c","a","b","a","c","c","a","b","a"
"96","b","b","c","c","b","b","a","a","c","c","b","b","a","a","a","a","a","c","a"
"97","a","b","c","a","c","a","b","c","b","b","c","c","c","c","a","a","b","b","c"
