"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","b","c","c","c","a","c","a","a","c","c","c","c","b","c","a","a","c","c","b"
"2","b","b","b","b","a","c","a","a","b","b","c","a","b","a","a","a","a","c","a"
"3","b","b","b","c","a","a","a","a","b","b","a","b","a","a","c","a","b","b","c"
"4","c","c","b","b","a","b","a","a","b","b","c","c","c","c","a","a","a","c","c"
"5","c","a","b","b","c","b","a","c","b","b","c","a","a","a","b","c","a","b","c"
"6","c","b","c","a","a","b","a","a","c","b","c","b","a","a","c","b","c","c","a"
"7","a","b","c","b","b","a","a","b","b","b","c","b","a","a","c","c","a","c","a"
"8","b","b","c","b","c","a","a","c","a","a","b","c","a","a","b","a","b","b","c"
"9","b","a","b","c","a","a","a","a","b","a","c","c","c","c","c","a","b","a","c"
"10","c","a","b","a","c","b","a","c","a","b","c","b","a","a","c","c","a","c","a"
"11","b","b","b","c","b","a","a","b","a","b","c","b","c","a","b","b","b","a","a"
"12","b","b","b","c","a","a","a","a","b","a","b","c","a","a","a","a","c","c","a"
"13","a","c","a","a","a","a","b","b","c","b","c","a","c","a","b","c","a","a","a"
"14","b","b","b","b","b","c","a","b","b","b","c","c","c","b","a","a","a","c","a"
"15","b","a","c","c","a","b","a","a","b","b","c","a","b","b","a","a","a","b","c"
"16","a","b","b","b","a","c","a","b","c","c","c","c","b","b","a","a","a","c","a"
"17","a","c","a","a","c","c","b","a","b","c","c","c","b","c","a","c","a","b","a"
"18","c","a","b","b","a","c","b","b","c","b","c","b","a","a","a","c","c","c","b"
"19","c","b","b","b","a","b","a","a","b","b","c","a","c","c","a","a","c","c","a"
"20","c","b","b","a","b","a","a","b","c","c","b","c","c","a","c","c","c","c","c"
"21","b","c","a","b","a","c","a","a","b","a","c","c","b","c","a","a","c","c","a"
"22","b","c","b","a","b","c","a","a","c","b","c","b","a","a","a","a","c","c","b"
"23","a","b","a","b","a","b","b","c","a","b","c","a","b","a","a","a","a","a","a"
"24","c","b","b","a","a","a","a","a","a","b","a","a","b","a","a","a","a","c","a"
"25","c","c","c","a","a","a","a","a","b","b","c","a","b","a","a","c","c","b","a"
"26","a","c","b","a","b","a","a","b","b","b","c","c","b","c","c","c","a","c","b"
"27","a","b","b","a","b","a","c","c","c","b","c","b","a","a","a","c","c","c","c"
"28","a","b","b","b","b","a","a","b","a","b","c","c","c","c","c","a","c","c","a"
"29","b","b","c","b","c","c","a","c","b","b","a","b","b","a","a","b","b","a","a"
"30","b","a","b","b","b","c","a","a","c","b","c","c","c","b","a","a","a","b","c"
"31","c","c","a","b","c","b","b","a","b","b","b","b","a","a","b","b","b","a","b"
"32","b","c","c","c","b","b","b","a","a","a","a","b","a","c","c","a","b","b","c"
"33","a","c","c","c","a","a","a","b","b","c","a","a","c","b","a","b","a","a","a"
"34","b","a","b","b","a","c","b","b","c","c","c","a","c","c","c","a","b","c","c"
"35","b","c","a","c","c","a","a","c","a","b","c","b","a","a","a","a","a","a","a"
"36","a","b","c","b","a","c","c","a","b","b","c","b","a","a","c","a","c","c","a"
"37","b","b","c","c","a","a","a","a","a","b","b","a","c","c","a","a","c","b","a"
"38","b","a","b","c","c","c","a","c","b","c","c","a","a","a","b","a","a","a","a"
"39","c","b","b","b","a","b","a","a","a","b","c","a","b","a","c","a","c","c","a"
"40","a","c","a","b","a","c","a","a","c","b","a","b","a","a","a","a","a","a","a"
"41","a","a","b","c","c","b","a","a","b","a","b","c","a","b","c","a","b","a","c"
"42","b","a","c","c","c","b","a","b","b","c","a","b","a","a","b","c","c","c","b"
"43","a","a","c","b","b","c","a","a","b","b","c","b","a","a","b","b","b","b","c"
"44","b","c","b","b","a","c","a","b","b","b","c","c","b","c","a","a","a","c","a"
"45","c","a","c","c","a","b","a","a","b","b","a","b","a","a","c","c","a","a","a"
"46","c","b","b","b","c","c","b","a","b","b","c","b","a","a","a","a","a","c","a"
"47","c","c","a","b","c","b","a","b","b","b","c","a","b","a","a","a","c","a","a"
"48","b","b","b","b","c","c","b","a","b","c","b","a","b","b","c","a","c","c","c"
"49","c","b","a","b","a","c","a","a","b","a","b","b","a","a","a","a","c","c","a"
"50","c","a","b","a","a","a","a","a","c","a","c","b","a","a","a","a","c","c","b"
"51","a","a","b","c","b","b","a","b","b","b","c","b","a","a","c","a","a","b","a"
"52","a","b","b","c","b","b","a","b","b","b","c","c","a","a","a","a","a","c","a"
"53","c","c","c","a","c","b","a","b","b","a","c","a","b","c","a","a","a","a","a"
"54","b","b","a","b","a","c","a","a","c","b","c","b","a","a","a","a","b","b","a"
"55","b","a","a","b","a","b","c","a","c","c","b","a","c","c","a","a","a","b","a"
"56","a","a","b","b","b","c","a","b","c","b","b","c","a","a","b","b","b","b","c"
"57","c","a","c","b","a","a","a","a","a","a","c","c","c","c","b","b","a","c","a"
"58","a","c","c","b","a","c","a","a","a","b","c","a","b","a","c","c","b","b","b"
"59","b","b","c","b","c","c","a","a","b","b","c","c","c","c","c","a","c","c","a"
"60","c","b","c","b","c","b","a","c","b","b","b","c","a","a","a","a","a","a","a"
"61","c","b","c","b","c","c","c","a","b","b","c","a","b","c","c","a","c","b","b"
"62","c","b","b","a","b","a","a","b","b","c","a","c","c","b","c","c","c","b","b"
"63","a","c","c","c","a","a","a","a","b","c","b","c","b","c","c","b","c","c","a"
"64","c","c","c","a","a","a","a","a","b","c","b","b","a","a","c","c","c","a","a"
