"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","c","c","b","b","a","b","a","a","b","b","c","a","b","a","c","c","c","c","a"
"2","c","a","b","b","a","c","b","b","a","c","c","c","b","c","a","a","c","c","c"
"3","b","b","c","b","a","c","a","a","b","b","c","b","a","a","c","a","c","a","a"
"4","c","b","c","a","b","a","a","b","b","c","c","b","a","a","a","a","a","a","a"
"5","b","b","b","c","b","a","a","c","c","c","b","c","a","a","c","c","c","c","c"
"6","a","b","b","c","c","b","c","a","b","b","b","a","c","c","a","c","c","c","b"
"7","c","c","c","a","c","a","b","a","b","b","c","c","c","b","b","a","b","c","c"
"8","a","a","c","b","c","a","b","a","b","b","c","c","c","b","a","a","a","b","a"
"9","a","c","a","a","b","b","b","c","c","b","c","c","a","a","a","a","a","a","a"
"10","a","c","b","b","c","c","b","a","b","b","c","a","b","a","c","a","b","a","b"
"11","a","b","a","a","c","b","b","a","b","b","b","c","a","a","b","b","b","a","a"
"12","c","a","c","a","a","a","a","a","a","b","b","c","b","a","c","a","a","a","a"
"13","b","a","b","b","a","c","a","a","a","b","c","a","b","c","c","a","c","c","b"
"14","c","c","c","b","c","b","a","c","b","b","c","c","b","c","a","a","c","b","a"
"15","a","b","b","b","c","c","a","b","b","a","b","c","a","a","b","c","a","a","a"
"16","a","b","b","b","a","a","b","a","b","a","a","b","a","a","a","a","c","c","a"
"17","b","c","b","a","a","a","b","b","a","b","c","b","a","a","a","a","a","c","a"
"18","b","b","b","c","a","a","a","b","c","b","c","a","c","b","c","c","a","c","a"
"19","b","b","a","b","a","b","a","a","b","b","c","c","c","c","a","b","a","a","a"
"20","c","c","c","b","a","c","a","a","c","b","b","c","c","a","a","a","a","c","a"
"21","c","c","c","a","b","a","a","b","b","a","a","b","a","b","c","a","c","c","a"
"22","a","b","a","a","a","a","a","a","b","b","b","c","a","a","a","a","a","a","a"
"23","c","c","b","a","a","c","a","a","c","b","b","a","c","c","a","a","a","c","a"
"24","b","a","c","b","a","b","a","a","b","b","c","b","a","a","a","a","b","c","c"
"25","a","a","b","b","a","b","b","b","a","b","c","c","c","c","a","a","a","c","c"
"26","c","b","b","a","a","a","a","a","c","a","b","a","c","c","a","a","c","c","a"
"27","a","b","b","c","a","c","a","a","a","a","c","b","a","a","a","a","a","a","a"
"28","c","b","c","a","a","a","a","a","a","b","c","b","a","a","b","a","a","c","a"
"29","a","c","a","c","a","a","a","a","b","b","b","c","a","a","a","c","a","a","b"
"30","b","a","b","c","a","b","a","a","a","b","c","c","b","a","c","c","c","c","b"
"31","a","c","a","a","a","b","a","a","b","a","b","c","c","c","c","c","c","c","b"
"32","b","b","a","b","a","c","a","a","b","a","b","c","c","c","c","c","a","c","a"
"33","b","b","a","c","c","b","a","c","a","b","c","b","a","a","c","c","c","a","b"
"34","b","c","a","b","a","b","a","a","a","c","b","c","a","a","a","b","a","b","a"
"35","b","a","c","b","a","a","a","a","c","b","b","c","c","c","a","a","a","c","b"
"36","b","c","b","b","a","a","a","a","b","b","c","a","b","a","b","c","b","c","b"
"37","b","a","c","b","c","a","a","c","b","b","c","b","a","a","a","a","a","b","a"
"38","a","b","a","a","b","a","a","b","b","b","c","b","a","a","a","a","a","a","a"
"39","c","c","c","a","a","c","a","a","c","b","c","b","b","c","a","a","a","c","a"
"40","b","b","a","b","b","c","a","a","c","b","c","a","b","a","a","a","a","a","a"
"41","a","a","a","c","a","a","a","a","b","b","c","a","b","b","b","c","a","a","b"
"42","c","c","a","b","b","c","a","a","b","b","c","b","b","c","a","a","a","a","a"
"43","b","b","b","b","a","a","a","a","a","b","c","b","a","a","a","a","a","a","a"
