"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","b","a","a","c","a","a","a","c","b","b","c","a","b","c","c","a","b","a","a"
"2","c","a","b","a","a","c","a","c","c","b","c","b","a","a","c","c","a","a","a"
"3","c","b","b","b","a","a","a","a","a","b","c","a","b","a","c","c","a","a","a"
"4","b","c","b","b","c","a","b","a","b","b","c","b","a","a","a","c","c","c","a"
"5","b","c","c","b","b","b","a","b","c","b","c","b","a","a","c","c","b","b","b"
"6","c","c","a","a","b","a","a","c","b","b","b","c","c","a","b","c","a","a","c"
"7","a","a","b","b","c","b","a","c","c","b","c","a","b","a","a","a","c","c","b"
"8","c","b","b","b","a","a","a","a","b","c","c","b","a","c","c","c","b","c","c"
"9","a","b","c","b","a","c","a","a","c","b","c","b","a","c","a","a","b","b","a"
"10","b","c","c","a","c","b","a","c","a","c","b","c","a","a","a","a","c","c","a"
"11","c","a","c","a","c","a","a","c","b","b","c","a","b","a","c","a","c","c","b"
"12","a","b","a","a","a","b","a","a","b","a","a","b","b","c","c","a","c","c","a"
"13","a","b","b","b","a","a","a","a","c","c","a","b","b","b","a","a","a","c","a"
"14","b","b","b","c","c","a","a","c","a","a","c","c","b","c","a","a","c","c","a"
"15","b","a","a","b","a","c","a","a","a","b","c","a","c","b","b","c","a","a","a"
"16","c","c","c","a","c","a","a","c","b","b","c","b","a","a","c","a","a","c","b"
"17","c","c","a","b","b","b","a","a","a","b","c","a","a","a","a","a","a","a","a"
"18","a","c","b","c","c","b","a","a","b","b","c","a","b","c","a","a","c","a","a"
"19","a","a","a","a","a","a","b","b","a","a","a","a","b","a","c","c","b","b","c"
"20","b","a","b","a","a","a","a","a","b","c","b","c","c","a","a","a","a","a","b"
"21","b","b","c","c","c","b","b","a","b","b","c","b","a","a","a","c","a","c","a"
"22","c","b","c","b","a","b","a","a","a","b","c","c","b","c","b","c","b","b","a"
"23","a","a","b","a","c","b","a","c","b","a","b","c","b","c","a","a","c","c","c"
"24","a","b","a","a","c","a","b","a","b","b","c","b","a","a","b","b","a","a","a"
"25","b","b","b","a","b","a","a","b","a","b","c","b","a","a","c","c","c","c","a"
"26","b","b","b","b","c","c","a","c","c","b","c","a","b","c","a","a","c","b","a"
"27","c","c","b","c","a","a","a","a","b","a","b","c","a","a","b","c","a","c","b"
"28","a","b","a","a","b","a","a","b","c","b","b","c","a","a","a","a","a","a","a"
"29","c","b","c","b","b","a","a","b","c","c","b","a","b","c","a","c","c","c","a"
"30","c","c","c","b","c","c","b","a","b","b","c","a","b","a","c","c","c","b","a"
"31","a","c","a","b","a","c","a","a","b","c","b","c","b","b","a","a","b","b","b"
"32","b","b","b","c","c","b","a","a","b","b","c","a","b","a","b","c","a","c","b"
"33","b","a","b","c","a","a","c","a","c","a","a","a","c","c","a","b","c","c","b"
"34","c","a","b","b","c","b","b","a","b","b","b","a","c","c","c","a","c","c","b"
"35","a","c","c","c","a","a","a","a","b","b","b","c","a","a","a","b","b","b","b"
"36","a","c","a","a","a","a","a","b","b","a","c","a","c","c","c","c","b","b","c"
"37","b","a","a","b","a","b","a","a","b","b","c","b","a","a","a","a","a","a","c"
"38","c","a","b","a","a","c","a","a","a","a","c","c","c","c","a","a","a","c","a"
"39","c","b","c","a","b","b","a","b","c","b","c","a","b","a","a","a","c","a","a"
"40","a","a","c","b","a","a","a","b","a","a","b","c","a","b","a","a","a","a","a"
"41","b","b","c","b","a","c","a","a","b","b","c","a","b","a","a","a","c","c","a"
"42","a","c","a","a","a","c","a","a","a","b","a","a","b","a","b","b","b","a","c"
"43","c","c","a","b","b","b","a","a","c","b","b","c","c","c","c","c","a","a","a"
"44","b","a","b","a","b","a","a","b","a","b","c","c","b","a","a","c","a","c","a"
"45","b","b","c","a","c","b","a","c","b","b","c","b","a","a","c","c","b","b","c"
"46","a","a","a","a","a","c","a","a","c","c","c","b","a","a","a","a","a","a","a"
"47","a","b","b","c","c","a","a","c","b","a","b","c","c","c","a","b","c","c","a"
"48","c","c","b","b","b","b","a","a","b","b","b","c","c","c","b","a","a","a","a"
"49","a","c","a","a","a","a","b","b","a","b","b","a","b","c","b","b","b","a","b"
"50","b","b","b","c","a","b","a","a","c","b","c","b","a","a","a","a","c","c","a"
"51","a","b","b","c","b","b","a","a","c","b","c","c","a","c","c","c","a","c","b"
"52","b","b","a","b","b","c","b","b","a","b","c","c","a","b","a","a","a","c","a"
"53","c","b","c","c","a","a","a","a","a","c","c","a","a","a","b","b","b","b","a"
"54","c","b","c","b","a","c","a","a","c","a","c","a","b","c","a","c","a","a","a"
"55","c","c","b","a","b","a","a","c","c","c","c","c","b","c","a","b","a","c","a"
"56","a","a","b","a","c","a","a","b","b","b","c","a","b","c","c","c","c","c","b"
"57","c","b","c","a","a","b","a","b","a","c","c","a","b","b","c","c","c","c","c"
"58","a","b","a","a","a","b","b","b","a","b","a","c","a","a","a","c","a","a","a"
"59","c","a","b","b","a","a","b","c","c","b","a","b","a","a","c","c","a","c","b"
"60","a","c","a","a","c","b","a","a","b","c","a","b","a","a","c","a","b","b","c"
"61","b","b","c","b","c","c","a","c","b","b","c","b","a","a","a","a","a","c","a"
"62","a","b","a","c","c","a","a","a","a","b","c","c","b","a","a","b","a","a","a"
"63","c","b","b","b","b","c","a","b","a","b","c","a","b","b","b","c","b","b","a"
"64","b","b","a","b","a","c","a","a","a","b","c","b","a","a","c","a","b","a","a"
"65","a","c","a","c","c","a","c","a","b","a","b","a","c","c","b","c","b","c","c"
"66","c","a","a","a","a","b","c","a","b","b","c","c","a","a","a","a","a","a","c"
"67","b","a","b","b","b","b","a","b","c","c","a","b","b","b","a","a","a","c","c"
"68","a","b","b","b","a","b","a","a","c","b","c","a","b","a","b","a","a","c","a"
"69","b","a","b","c","c","b","a","c","c","b","c","b","a","a","b","b","c","c","b"
"70","a","b","a","a","a","c","a","b","c","c","b","c","a","a","a","a","a","a","a"
"71","b","a","b","c","a","a","b","b","a","b","c","b","a","a","a","b","a","c","a"
