"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","a","c","c","b","a","c","a","a","b","b","c","b","a","a","a","a","a","b","a"
"2","c","b","b","a","a","a","a","b","a","c","b","c","a","c","a","a","a","c","a"
"3","c","a","b","c","a","a","a","a","a","b","c","a","c","c","c","c","c","c","b"
"4","b","b","b","b","a","c","b","a","a","b","c","a","b","c","c","c","c","c","a"
"5","c","c","b","a","c","c","a","c","c","a","b","b","a","a","b","b","a","c","a"
"6","b","b","b","c","b","a","a","b","b","b","c","b","a","a","c","c","c","c","b"
"7","b","c","c","b","a","a","b","b","b","a","b","b","a","a","b","c","b","b","c"
"8","c","c","a","c","c","b","a","c","b","b","b","c","c","c","c","a","b","a","b"
"9","c","b","b","a","a","a","a","a","b","b","c","a","b","a","c","b","c","c","b"
"10","a","a","a","c","a","b","a","a","c","b","c","c","b","c","a","a","a","a","a"
"11","c","a","b","b","a","c","a","a","b","a","b","c","b","c","a","a","c","c","b"
"12","a","b","b","b","c","c","b","a","b","b","c","a","b","a","b","c","b","c","c"
"13","b","b","b","c","b","c","a","b","c","b","b","c","c","c","b","c","b","c","c"
"14","c","a","b","b","a","b","a","a","b","a","a","a","b","a","c","a","c","a","b"
"15","a","a","a","b","a","b","a","a","b","c","c","b","a","a","c","c","c","c","b"
"16","a","a","a","b","b","b","b","c","a","c","b","c","a","a","a","a","c","c","b"
"17","c","b","c","b","c","a","c","c","b","c","a","b","a","a","a","b","a","a","a"
"18","b","b","b","b","c","c","a","c","b","b","c","b","a","a","b","c","a","c","a"
"19","b","c","b","b","c","a","a","c","b","b","c","a","b","a","c","c","b","a","b"
"20","c","c","b","a","b","a","a","b","b","b","a","a","a","a","b","b","b","b","c"
"21","a","b","b","a","c","a","a","c","b","b","c","a","b","a","b","c","a","c","a"
"22","a","c","a","a","a","a","a","a","a","c","a","b","c","b","a","a","a","a","a"
"23","c","b","b","b","a","c","a","a","a","b","c","a","c","c","a","a","c","c","b"
"24","b","c","a","b","a","b","a","a","c","b","c","b","a","a","a","a","a","a","a"
"25","a","c","a","b","b","a","a","b","c","b","c","c","c","c","a","b","a","a","a"
"26","a","c","c","c","a","b","a","a","c","a","b","c","c","c","c","a","c","b","a"
"27","c","b","b","b","b","b","a","b","a","b","c","a","b","a","c","c","c","c","b"
"28","c","c","b","b","a","c","a","a","b","b","c","a","a","a","a","c","a","c","b"
"29","b","a","b","b","a","c","a","a","a","b","c","a","b","a","c","c","c","c","b"
"30","c","a","b","b","b","c","a","a","b","b","c","c","c","c","a","c","b","b","c"
"31","a","c","b","c","c","a","b","a","b","b","c","b","a","a","c","a","c","c","a"
"32","b","c","c","c","c","b","a","c","b","c","a","b","a","a","a","a","a","a","a"
"33","c","b","b","b","b","b","a","b","c","b","c","b","a","a","c","c","c","c","a"
"34","c","a","b","a","a","a","a","a","a","b","c","c","a","a","a","a","c","c","b"
"35","b","c","c","b","c","b","a","c","c","b","c","b","a","a","a","b","a","b","a"
"36","b","b","b","a","a","c","a","a","c","c","c","b","a","a","c","c","a","a","a"
"37","a","a","c","c","c","b","a","b","b","c","b","a","b","b","a","a","c","c","c"
"38","b","c","c","b","b","c","a","b","a","b","b","c","b","a","a","a","a","b","a"
"39","b","a","c","c","c","a","a","c","b","b","c","b","a","a","c","c","c","c","b"
"40","a","b","a","a","a","b","a","a","b","b","c","c","c","a","a","c","a","a","a"
"41","a","c","a","c","a","a","a","a","c","c","a","c","b","c","b","a","a","b","c"
"42","c","a","b","b","a","c","a","a","a","b","c","b","b","b","c","c","c","c","b"
"43","c","c","b","a","c","b","b","a","b","c","b","a","a","a","a","c","a","c","a"
"44","b","b","b","a","c","b","a","c","b","b","c","c","c","b","c","a","c","c","a"
"45","a","b","a","b","c","b","c","b","b","b","c","c","a","a","c","c","a","a","a"
"46","a","b","b","b","c","b","b","a","b","b","c","b","a","c","c","c","a","b","a"
"47","b","b","b","b","a","c","a","a","b","b","c","b","a","a","a","c","a","c","a"
"48","b","c","a","b","b","c","a","b","b","c","a","a","b","b","c","c","a","a","c"
"49","b","a","b","b","b","c","c","a","b","b","c","a","c","c","c","c","c","c","b"
"50","a","b","b","b","b","c","a","b","c","b","c","a","b","c","b","b","b","a","a"
"51","b","b","a","b","b","c","a","c","c","c","c","c","c","c","a","b","b","b","c"
"52","a","b","a","b","a","a","a","a","a","b","b","a","b","a","b","a","a","a","a"
"53","b","a","a","a","b","a","a","b","a","b","c","b","a","a","b","b","a","a","b"
"54","b","b","b","b","b","a","a","b","c","b","c","c","b","c","c","a","b","b","c"
"55","a","c","a","b","b","b","a","b","b","b","c","b","a","a","a","a","a","a","a"
"56","c","a","b","b","a","c","a","a","c","b","c","b","a","a","b","a","c","b","b"
"57","b","c","c","a","c","a","a","a","b","b","c","c","c","c","a","a","a","c","a"
"58","a","a","a","a","c","a","a","c","b","b","c","a","b","a","b","b","b","a","c"
"59","c","b","b","b","b","b","b","a","a","b","b","c","a","a","a","a","b","b","a"
"60","a","b","b","b","b","a","c","c","c","b","b","a","c","c","c","a","a","a","a"
"61","b","c","c","b","b","b","a","b","c","b","c","c","b","b","a","a","c","c","a"
"62","a","a","a","b","b","b","a","b","c","b","a","b","a","a","c","a","b","a","c"
