"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","c","b","a","a","c","a","a","c","b","b","c","c","b","c","b","a","b","a","b"
"2","b","a","a","c","a","b","a","a","a","a","c","b","a","a","a","a","c","c","b"
"3","a","b","b","b","a","c","a","a","b","a","c","b","a","c","a","a","a","c","a"
"4","a","b","a","b","a","c","a","a","a","b","c","a","b","c","a","b","a","a","a"
"5","a","a","a","c","a","a","a","a","c","b","c","c","b","c","a","a","a","a","a"
"6","b","c","c","b","a","a","a","a","b","c","b","b","a","a","a","a","c","c","a"
"7","a","a","a","a","c","a","a","c","b","c","c","b","b","b","a","a","a","a","a"
"8","a","c","c","b","a","c","a","a","c","b","c","c","c","b","b","a","b","a","b"
"9","a","c","a","b","a","b","a","a","b","b","c","b","b","a","a","a","a","c","a"
"10","c","a","b","a","a","c","a","a","c","c","b","a","c","b","a","a","a","c","a"
"11","b","a","a","b","b","c","a","b","b","b","b","c","b","c","c","c","c","a","a"
"12","c","c","c","a","c","c","c","a","b","c","c","c","c","c","a","a","a","c","a"
"13","c","a","b","a","b","a","a","b","c","b","c","a","b","a","c","c","c","c","a"
"14","c","a","c","b","c","b","a","c","a","b","c","a","b","c","a","a","c","b","c"
"15","a","a","b","c","a","a","a","a","b","b","c","a","c","c","b","c","a","c","a"
"16","a","b","b","b","b","c","a","b","b","c","a","b","a","c","c","a","a","b","a"
"17","b","b","b","a","a","c","a","a","b","c","a","b","a","a","a","a","a","b","a"
"18","c","a","a","b","b","c","a","b","a","b","b","c","a","a","a","b","a","a","a"
"19","a","a","a","a","a","a","a","a","b","b","c","b","a","a","b","a","b","a","a"
"20","c","a","c","b","c","a","b","a","a","b","c","a","b","a","b","b","b","b","c"
"21","c","b","b","a","b","c","a","b","a","b","c","a","c","c","a","a","a","a","a"
"22","c","b","b","a","a","b","a","a","c","c","b","c","a","a","a","a","a","c","a"
"23","b","c","c","b","b","c","a","a","b","a","a","b","c","c","a","a","a","b","a"
"24","a","c","c","c","a","b","a","a","a","b","c","b","a","a","b","b","b","b","c"
"25","b","c","b","c","a","b","b","c","b","b","b","c","b","a","b","c","b","b","a"
"26","b","b","b","b","a","b","a","a","c","a","b","c","a","a","b","b","c","b","c"
"27","b","b","b","b","a","a","a","b","a","c","c","c","b","c","a","c","a","c","a"
"28","a","c","b","b","c","b","a","c","c","b","c","b","a","a","a","a","c","a","a"
"29","a","b","a","a","a","a","a","a","c","b","c","a","b","a","a","a","a","a","a"
"30","a","a","c","b","a","b","a","a","b","b","c","c","b","c","c","b","a","c","a"
"31","a","b","a","c","a","c","a","a","c","b","c","c","b","a","b","b","a","a","a"
"32","a","c","c","b","c","a","a","c","b","c","b","a","c","c","c","c","b","c","c"
"33","b","a","c","b","a","b","a","a","b","b","b","c","a","a","c","c","b","b","c"
"34","c","b","b","a","c","b","a","c","b","a","a","b","a","a","c","a","c","c","a"
"35","b","a","a","b","a","b","a","a","b","a","b","c","b","b","a","a","c","a","b"
"36","a","a","a","c","c","b","a","c","b","c","a","b","a","a","a","a","a","a","a"
"37","b","a","a","b","c","b","a","a","b","b","c","c","c","c","c","a","a","a","a"
"38","a","a","b","c","a","b","a","a","c","a","c","c","c","c","a","a","c","c","b"
"39","c","a","c","b","c","c","b","a","c","b","b","c","a","b","b","b","b","b","c"
"40","b","a","b","b","c","b","c","c","b","b","c","a","b","c","a","a","c","c","b"
"41","c","c","a","b","a","b","a","b","c","c","b","a","c","b","a","a","a","a","a"
"42","a","c","a","a","b","a","a","b","c","b","a","b","b","a","b","b","b","b","c"
"43","b","c","c","b","c","c","a","c","b","a","b","c","b","c","a","b","c","c","a"
"44","c","c","c","b","b","b","a","c","a","b","c","a","b","b","c","a","c","a","a"
"45","c","a","c","a","b","a","a","a","a","c","b","c","a","a","a","a","b","b","a"
"46","b","c","a","b","a","c","a","a","b","c","a","b","b","c","c","c","c","b","a"
"47","b","b","a","c","c","c","b","a","b","b","c","b","a","a","c","a","a","a","a"
"48","b","b","c","c","c","b","b","a","b","a","b","c","a","a","c","a","a","c","a"
"49","c","c","b","b","a","b","a","a","c","c","a","b","b","c","a","a","a","a","a"
"50","b","b","b","b","c","b","a","c","c","b","c","b","a","a","a","a","a","c","a"
"51","b","a","a","b","a","b","a","a","c","b","b","c","b","a","c","c","c","c","b"
"52","a","a","a","a","c","b","a","a","b","b","c","b","a","a","a","b","a","a","a"
"53","b","c","a","c","b","c","a","b","c","b","c","c","b","c","b","b","a","a","a"
"54","c","a","b","a","b","c","a","a","c","b","b","b","a","a","a","a","a","c","a"
"55","b","b","a","c","a","b","a","a","b","b","c","c","c","c","b","a","a","a","b"
"56","c","b","b","a","b","a","a","b","b","c","a","b","a","b","a","a","a","c","a"
"57","a","a","a","a","b","a","a","b","c","b","c","a","b","c","c","c","a","a","c"
"58","c","c","b","b","a","b","a","a","c","b","c","a","b","c","c","c","c","c","a"
"59","a","c","a","a","c","a","a","a","b","b","c","a","b","a","a","a","a","a","a"
"60","c","b","b","a","b","c","a","b","b","b","c","a","b","a","b","c","c","c","c"
"61","b","b","c","c","b","c","b","a","b","b","c","c","c","c","a","a","a","a","a"
"62","a","b","a","b","c","c","a","c","b","b","c","a","b","a","a","a","a","a","c"
"63","b","b","b","a","b","a","a","b","c","a","b","a","b","c","c","c","c","c","b"
"64","b","c","a","c","b","a","b","a","a","b","c","a","b","c","a","c","c","b","a"
"65","c","a","c","b","b","c","a","a","a","b","c","a","b","a","c","a","c","b","b"
"66","a","a","a","a","a","a","a","a","b","a","b","c","b","c","b","a","b","b","a"
"67","a","c","a","a","a","b","a","a","a","a","c","b","a","a","a","a","a","c","a"
"68","b","a","a","b","b","c","c","a","b","b","c","c","a","a","a","a","a","a","a"
"69","b","c","a","b","b","c","b","c","c","b","c","a","b","c","a","a","b","a","b"
"70","b","b","c","b","a","c","a","a","b","b","a","a","a","a","c","a","b","b","a"
"71","c","a","a","a","b","b","a","c","a","b","b","a","c","a","a","a","a","a","b"
"72","a","c","c","c","b","b","c","a","a","b","c","a","b","a","a","b","b","b","c"
"73","a","a","a","a","a","a","a","a","b","b","c","c","b","c","a","a","c","a","b"
"74","a","b","c","a","a","b","a","a","c","b","c","a","b","a","b","b","b","b","a"
"75","a","b","a","c","a","a","a","a","a","b","c","a","b","a","a","a","a","a","a"
"76","b","a","b","c","b","c","a","c","a","b","c","c","c","c","b","b","a","c","a"
"77","c","c","a","a","a","c","a","c","b","b","b","c","a","a","b","b","a","a","a"
"78","c","c","a","a","c","a","b","a","b","b","c","c","c","c","a","c","a","a","a"
"79","b","a","b","c","c","a","b","a","b","b","c","a","a","b","a","a","a","c","b"
"80","a","b","b","b","a","b","b","a","b","b","b","c","a","a","c","a","c","c","a"
"81","a","a","a","a","a","c","b","a","b","a","b","a","c","c","a","a","b","b","c"
"82","b","a","a","c","a","a","a","a","a","b","c","a","b","b","c","b","b","a","c"
"83","a","a","a","b","c","c","a","c","b","a","c","b","b","c","a","b","a","c","a"
"84","b","a","c","b","a","b","a","a","b","b","b","c","a","b","a","a","a","a","a"
"85","b","b","a","c","b","c","a","b","c","b","c","c","b","c","a","c","a","a","a"
"86","c","b","c","b","b","b","a","b","b","b","c","a","b","a","a","a","c","c","b"
"87","c","a","c","a","a","a","a","b","c","b","a","b","a","a","a","a","a","a","a"
"88","a","a","a","b","a","c","a","a","a","a","c","b","a","a","c","c","c","c","b"
"89","b","c","a","b","a","c","a","a","a","a","b","c","c","c","b","c","a","c","a"
"90","a","a","a","b","c","b","a","c","b","a","b","c","a","c","b","b","a","c","a"
"91","a","a","a","b","a","c","a","c","c","b","a","a","a","a","b","c","a","a","a"
"92","a","b","c","b","a","b","a","a","c","b","c","a","b","a","c","a","c","b","c"
"93","a","a","a","b","b","b","a","a","b","b","c","c","c","c","a","b","a","a","a"
"94","b","c","a","c","b","c","a","a","c","b","c","a","b","c","c","a","c","a","a"
"95","c","a","c","b","b","c","a","c","b","a","b","a","b","a","b","b","b","b","c"
"96","a","a","a","a","b","a","a","b","c","c","b","b","a","a","a","a","a","b","c"
"97","a","a","a","a","a","c","a","a","c","a","b","c","b","b","c","a","a","a","a"
"98","c","b","c","a","b","c","a","a","c","a","b","b","a","b","a","a","c","c","c"
"99","c","a","b","b","a","c","a","a","c","a","c","a","b","c","a","a","a","c","a"
"100","a","c","b","b","a","b","a","b","b","b","c","c","c","c","a","c","b","a","b"
"101","b","c","c","b","b","a","a","b","b","b","c","c","a","a","c","a","b","b","c"
"102","b","c","c","c","a","a","a","a","b","b","b","c","a","a","b","c","b","b","c"
"103","b","a","a","b","a","b","a","a","b","c","b","c","a","a","c","a","b","b","c"
"104","b","c","c","b","a","c","a","a","b","b","b","c","b","a","a","a","b","b","c"
"105","b","c","c","b","c","c","a","c","c","c","a","a","c","b","c","a","a","c","a"
"106","b","b","a","a","c","b","a","a","b","a","a","c","c","c","a","c","c","c","a"
"107","b","b","c","b","c","c","a","c","b","b","c","b","b","a","a","a","a","c","a"
"108","a","a","a","b","c","b","c","c","b","b","c","c","b","c","a","a","a","a","a"
"109","b","c","a","b","a","a","a","a","b","b","c","c","b","c","a","a","a","a","a"
"110","a","a","a","c","c","a","a","c","b","a","b","c","a","a","c","c","a","c","a"
"111","b","b","c","b","a","b","a","a","a","b","c","a","a","a","c","a","c","b","a"
"112","c","c","b","b","a","c","a","a","b","b","c","a","b","c","c","a","c","c","a"
"113","b","c","c","b","c","c","c","b","b","b","c","c","b","a","a","a","b","b","b"
"114","c","a","b","a","b","a","c","a","b","b","c","a","c","b","a","a","a","c","a"
"115","b","a","a","b","c","c","a","c","b","b","c","c","c","c","a","c","a","a","a"
"116","a","b","a","a","b","b","c","c","c","c","c","b","a","a","a","a","a","b","a"
"117","a","a","a","b","b","c","a","b","a","a","c","c","c","c","a","a","a","c","a"
"118","a","c","c","c","b","b","a","b","c","a","b","c","a","c","c","a","c","b","a"
"119","a","c","c","b","b","b","a","a","c","a","b","a","a","a","c","a","a","b","a"
