"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","a","b","a","a","c","a","a","c","b","b","c","c","b","a","c","a","a","a","a"
"2","c","b","a","b","a","c","a","a","b","b","c","b","a","a","a","a","a","a","a"
"3","a","a","c","c","b","c","a","b","a","b","c","a","b","c","a","a","a","a","a"
"4","b","b","c","b","a","b","a","a","c","a","a","c","c","c","a","a","c","b","a"
"5","b","a","a","c","b","b","a","b","b","c","b","c","b","b","a","a","c","a","b"
"6","a","b","a","b","a","b","a","a","c","c","b","c","b","b","a","a","a","b","a"
"7","c","a","a","b","a","a","a","a","b","b","c","b","b","a","c","c","c","c","b"
"8","b","a","a","c","a","b","a","c","c","a","b","c","a","a","a","b","a","c","a"
"9","b","c","b","c","b","a","a","b","b","a","c","a","b","a","a","a","a","a","a"
"10","b","b","c","a","c","b","b","a","b","b","c","b","a","a","a","a","c","b","a"
"11","c","c","c","a","a","a","a","a","a","b","a","b","a","a","c","c","c","c","b"
"12","c","c","a","a","a","a","a","a","a","b","c","c","b","c","a","a","a","a","a"
"13","a","a","b","b","a","b","a","a","b","c","b","c","b","b","a","c","c","a","b"
"14","a","b","a","b","b","b","b","c","a","b","c","a","b","a","b","c","b","a","a"
"15","c","a","c","a","a","b","a","a","b","b","c","a","b","a","b","b","b","b","c"
"16","c","c","b","b","a","b","a","a","a","b","c","c","c","a","a","a","a","c","b"
"17","c","c","c","c","a","a","a","a","c","b","b","c","b","c","a","a","a","a","a"
"18","a","c","b","b","b","c","a","a","b","c","a","b","a","a","a","c","a","c","b"
"19","c","b","c","b","a","c","a","a","a","b","c","a","b","a","a","a","a","a","a"
"20","b","c","b","a","b","b","a","b","b","c","c","a","c","c","a","a","a","c","a"
"21","b","c","b","c","c","b","a","c","b","c","a","a","c","c","a","b","a","c","c"
"22","b","c","a","a","c","b","b","a","c","b","c","c","b","b","b","a","a","a","a"
"23","b","c","c","c","c","b","b","a","b","b","b","c","c","c","c","c","a","c","b"
"24","b","a","a","b","a","c","a","a","a","c","b","c","a","a","a","a","a","c","a"
"25","b","a","a","b","b","c","a","c","b","b","b","b","a","b","b","b","a","a","b"
"26","b","b","a","b","c","c","b","a","b","b","c","a","b","a","c","c","a","a","b"
"27","a","c","a","b","a","c","a","c","c","b","b","a","c","c","b","a","c","a","a"
"28","a","b","a","c","c","b","a","c","b","c","a","a","a","a","c","c","c","c","b"
"29","c","b","b","c","c","a","a","c","b","b","c","b","a","a","a","c","c","c","a"
"30","b","b","a","b","a","c","a","a","c","b","c","c","c","a","b","b","b","a","a"
"31","b","b","b","b","a","a","a","a","b","c","b","c","c","a","a","a","a","c","a"
"32","b","b","c","b","a","c","b","a","a","c","c","b","b","b","b","a","c","c","a"
"33","b","a","a","a","c","a","a","c","b","b","c","a","b","a","b","c","a","a","a"
"34","b","a","a","c","a","b","a","a","a","b","c","c","c","a","a","a","a","a","a"
"35","a","b","b","b","a","c","a","a","b","c","a","a","a","b","c","a","c","c","b"
"36","c","c","b","a","b","a","a","b","a","b","c","b","a","a","c","c","c","c","a"
"37","b","a","b","b","b","c","b","c","c","c","a","b","a","c","c","c","c","c","b"
"38","c","b","c","a","a","b","b","a","a","b","c","b","a","a","a","c","c","b","b"
"39","b","c","a","b","b","c","a","b","a","b","c","a","b","a","a","a","a","a","a"
"40","c","b","a","b","c","a","a","c","b","b","c","c","b","c","a","b","a","a","a"
"41","c","c","c","b","a","c","a","a","a","b","c","a","b","c","a","a","c","c","a"
"42","a","c","a","a","a","c","a","a","c","c","b","c","c","c","c","c","a","a","a"
"43","b","c","a","b","a","b","a","a","b","b","c","b","a","a","a","a","a","a","a"
"44","b","a","a","c","c","b","a","c","b","b","c","b","a","c","a","a","a","a","a"
"45","b","a","a","a","a","a","a","a","b","b","c","c","b","a","a","a","b","a","c"
"46","c","b","b","b","c","c","a","b","b","b","c","a","a","a","a","a","c","c","a"
"47","b","c","c","b","a","b","b","b","c","a","c","a","c","a","c","c","c","b","a"
"48","b","b","a","b","c","c","b","a","a","b","c","a","b","a","a","b","a","a","a"
"49","b","b","c","b","c","b","a","c","b","b","c","a","b","a","c","c","c","b","a"
"50","b","c","a","b","c","c","b","a","b","b","c","a","a","a","a","a","c","b","a"
"51","a","c","a","b","a","b","b","b","c","b","c","b","a","a","c","a","a","a","c"
"52","a","c","a","c","a","c","a","a","b","b","c","a","a","a","b","b","b","a","b"
"53","a","b","a","c","a","b","a","a","a","c","b","b","a","a","c","a","c","c","a"
"54","c","a","a","c","c","a","a","a","b","b","c","b","a","a","a","a","a","a","a"
"55","c","c","b","b","a","c","a","a","c","b","c","a","b","c","c","a","a","a","a"
"56","b","c","c","b","b","c","a","b","c","c","a","b","b","c","c","c","c","c","a"
"57","a","a","a","b","c","b","b","a","b","b","c","a","b","a","c","c","a","a","a"
"58","b","b","a","a","b","c","a","a","a","b","c","a","b","a","b","b","a","a","a"
"59","b","b","a","b","b","c","a","a","a","b","b","c","c","c","a","a","a","a","a"
"60","b","c","c","b","b","c","a","a","a","c","c","b","a","a","c","c","c","b","a"
"61","b","b","a","b","c","c","b","a","b","b","c","a","b","a","a","b","a","a","a"
"62","a","b","a","b","b","a","a","b","b","a","a","c","c","c","a","b","c","c","b"
"63","b","c","a","b","a","c","c","a","c","b","c","a","b","a","a","a","a","a","b"
"64","b","c","b","c","c","b","a","a","b","b","b","c","c","a","b","c","b","b","b"
"65","a","b","a","a","c","a","b","a","b","c","c","a","b","b","b","c","b","b","b"
"66","a","c","b","c","c","b","b","a","b","b","b","c","a","a","a","a","c","c","b"
"67","c","a","c","b","c","c","a","b","b","b","c","c","a","a","c","c","c","b","b"
"68","b","a","c","b","a","b","a","a","b","c","a","b","a","a","a","a","a","c","c"
"69","a","b","a","c","c","b","b","a","b","c","c","b","a","a","c","c","b","b","a"
"70","b","a","c","c","c","b","a","a","a","b","a","b","a","b","c","a","c","a","b"
"71","a","b","a","b","c","c","b","a","b","a","c","b","b","b","a","a","c","c","a"
"72","c","a","b","a","c","a","b","a","b","a","c","a","c","c","c","c","b","c","a"
"73","a","b","a","a","c","a","a","c","c","b","c","b","a","a","a","c","a","a","a"
"74","a","c","a","a","a","a","a","a","a","b","a","b","a","a","a","a","a","a","a"
"75","b","c","c","c","a","a","a","a","b","b","c","c","c","c","b","b","a","b","a"
"76","b","b","a","c","b","a","a","b","a","b","a","b","a","a","c","c","a","a","a"
"77","c","c","c","b","c","b","a","c","b","b","c","a","b","a","a","a","a","c","a"
"78","a","b","a","b","a","b","a","a","b","b","c","a","b","c","a","c","a","a","a"
"79","b","c","c","c","a","c","b","b","c","b","c","a","a","a","a","a","b","b","c"
"80","a","c","b","c","a","a","a","a","b","b","c","a","b","c","b","b","b","b","b"
"81","c","a","b","a","b","a","a","a","b","b","c","a","b","a","a","a","a","a","a"
"82","c","c","c","a","b","b","a","b","b","a","b","a","c","c","a","b","a","c","a"
"83","b","a","c","b","b","c","a","a","b","b","b","c","a","a","a","a","a","b","c"
"84","c","a","c","b","a","a","a","a","c","b","a","b","a","a","b","a","b","b","c"
"85","c","c","c","a","a","a","b","b","c","c","a","a","c","c","b","b","b","b","b"
"86","c","b","b","a","a","a","b","a","a","b","c","a","b","a","c","c","c","c","a"
"87","c","b","c","c","b","b","a","b","c","b","c","c","b","c","c","b","c","c","a"
"88","a","a","a","c","a","b","b","b","b","c","b","c","c","c","a","a","a","a","a"
"89","c","c","a","b","c","c","a","c","a","b","c","a","a","a","a","a","a","c","a"
"90","a","c","a","c","b","b","a","b","b","c","a","a","a","a","c","a","c","b","a"
"91","b","a","c","b","a","c","c","b","a","b","c","a","b","a","b","a","b","b","c"
"92","c","b","c","c","b","b","a","b","b","c","a","b","a","a","c","c","a","a","b"
"93","b","b","a","b","a","c","b","b","b","b","a","b","a","a","a","a","a","a","a"
"94","b","b","a","a","c","c","a","b","b","b","c","c","c","c","c","c","b","a","c"
"95","a","b","c","c","c","b","a","a","b","a","c","c","c","c","c","a","c","c","a"
"96","b","b","a","c","a","b","a","a","a","c","a","b","c","c","a","a","c","c","b"
"97","a","c","a","b","a","c","a","c","a","b","c","c","c","b","a","a","a","a","c"
"98","a","b","c","c","a","c","a","c","b","b","c","c","c","c","b","b","a","c","a"
