"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","a","c","a","b","c","b","a","c","b","c","c","a","b","a","b","a","a","b","a"
"2","c","a","b","a","a","a","a","a","b","a","c","b","a","a","c","c","a","c","a"
"3","c","c","c","b","c","a","a","c","b","c","c","a","b","a","a","a","a","b","c"
"4","a","c","a","c","a","b","a","a","a","a","b","b","a","a","a","a","a","b","a"
"5","c","c","c","b","a","c","b","a","c","b","b","c","a","b","c","c","c","c","b"
"6","b","a","b","b","b","c","a","b","b","a","b","a","b","c","c","c","a","a","a"
"7","b","c","a","c","b","a","b","a","b","a","c","c","c","c","a","b","a","c","a"
"8","a","a","b","a","b","b","a","b","b","b","b","c","a","a","a","a","a","b","c"
"9","b","b","a","b","a","a","a","a","b","c","c","a","b","c","b","b","b","b","a"
"10","c","b","b","b","b","c","a","a","b","a","a","a","c","c","a","a","b","b","a"
"11","a","c","a","b","a","c","a","a","b","c","b","c","b","c","a","a","b","b","b"
"12","a","c","b","a","c","c","a","c","b","a","a","b","a","a","a","a","a","c","a"
"13","b","c","a","b","b","a","a","b","c","b","b","b","a","a","b","b","a","a","a"
"14","a","b","a","a","a","a","b","a","a","b","c","a","a","a","a","a","a","a","a"
"15","c","c","a","a","a","a","b","c","a","b","c","c","b","a","b","b","a","a","a"
"16","b","b","a","c","a","b","b","b","a","b","c","c","c","c","c","c","a","a","a"
"17","a","b","c","b","a","b","a","a","b","a","c","a","c","c","b","c","a","c","a"
"18","b","b","c","b","a","c","b","a","c","b","c","c","a","a","a","a","a","c","a"
"19","a","c","a","b","b","c","b","c","c","b","c","c","a","a","a","a","a","a","a"
"20","b","a","c","c","a","a","b","b","b","b","c","a","b","c","a","a","a","c","a"
"21","b","a","a","c","c","b","b","a","a","b","c","a","b","c","b","b","a","a","c"
"22","b","c","a","b","a","c","a","a","b","b","c","c","c","c","a","a","a","a","b"
"23","c","c","a","b","a","c","a","a","b","a","b","c","a","c","a","a","c","c","a"
"24","a","a","c","c","a","a","a","c","a","b","c","a","a","a","b","b","b","b","c"
"25","a","c","c","c","c","b","c","a","a","b","c","a","b","b","c","c","b","b","c"
"26","a","c","b","c","c","b","b","a","a","b","b","c","b","a","a","b","a","b","b"
"27","b","a","a","b","c","c","a","c","a","b","c","c","c","c","a","c","a","a","a"
"28","b","c","a","c","c","a","a","c","b","b","c","a","b","a","a","a","a","c","a"
"29","a","c","a","b","a","c","a","a","b","b","c","a","b","a","c","c","c","a","a"
"30","a","b","b","b","c","c","b","a","b","a","c","b","b","c","c","c","c","c","a"
"31","c","b","b","b","c","b","a","c","b","b","c","a","b","a","a","a","a","c","a"
"32","a","b","a","b","b","b","a","a","c","c","c","a","b","c","c","c","c","b","a"
"33","a","b","b","c","a","b","a","a","b","a","c","c","b","c","a","c","c","c","a"
"34","c","b","a","a","b","a","c","b","c","b","a","b","a","a","c","c","a","a","a"
"35","a","a","a","b","b","c","a","b","b","b","b","c","a","a","b","b","a","a","a"
"36","b","c","b","b","a","b","b","b","c","a","b","c","a","a","b","a","a","c","c"
"37","a","a","b","b","c","c","a","c","b","c","c","b","a","a","a","a","a","a","c"
"38","b","c","c","b","c","b","a","c","a","b","c","b","a","a","a","b","a","b","a"
"39","b","b","b","c","b","b","a","c","c","b","c","a","b","a","c","a","c","c","c"
"40","a","a","a","b","a","c","a","a","c","c","b","c","b","b","b","b","c","c","c"
"41","c","c","b","b","b","c","a","a","c","a","c","b","a","a","c","a","a","c","a"
"42","c","c","a","b","a","a","a","a","a","b","c","b","a","a","a","c","a","a","c"
"43","b","a","a","b","a","c","a","a","b","b","c","b","a","a","a","a","c","a","c"
"44","c","c","b","b","a","a","a","a","a","b","c","c","c","c","a","c","a","c","a"
"45","a","a","b","c","a","b","b","a","a","c","b","c","a","a","a","b","a","c","c"
"46","c","c","c","b","c","c","c","a","b","b","c","c","c","c","c","a","c","c","a"
"47","b","b","a","b","b","c","a","a","b","b","b","c","b","c","a","a","a","a","a"
"48","b","c","c","b","a","c","a","a","a","a","b","a","b","c","a","a","c","b","a"
"49","a","a","c","a","a","a","a","a","b","c","a","b","a","a","c","a","a","c","a"
"50","c","c","a","b","a","c","a","a","a","b","c","a","b","c","c","c","a","c","b"
"51","a","c","a","b","a","c","a","a","a","a","b","c","a","a","c","c","c","c","a"
"52","c","c","b","a","c","c","a","c","c","b","c","a","c","a","c","c","c","c","a"
"53","b","c","b","b","b","b","a","b","c","a","c","c","b","b","a","b","c","c","a"
"54","b","c","b","b","a","a","a","a","a","b","c","b","a","a","a","b","a","c","a"
"55","a","c","c","c","a","b","a","a","c","b","c","b","a","a","a","a","a","b","a"
"56","a","c","a","c","a","a","a","a","c","c","a","a","c","b","a","a","c","c","a"
"57","b","c","a","b","b","a","a","b","c","b","c","a","b","a","a","a","a","a","a"
"58","a","c","a","a","a","b","a","b","a","b","c","a","c","c","a","a","a","a","c"
"59","b","c","c","c","a","c","a","a","a","b","c","b","a","a","a","a","a","a","a"
"60","b","c","b","b","b","c","a","b","b","b","c","a","b","a","c","c","c","c","a"
"61","b","b","a","b","c","a","c","b","b","b","c","b","a","b","c","c","a","a","a"
"62","b","c","b","b","a","c","a","a","a","b","b","c","a","a","a","b","a","a","b"
"63","a","b","a","b","c","c","a","c","b","a","b","a","c","a","c","b","c","c","a"
"64","b","c","a","b","a","c","a","a","b","b","c","c","b","b","b","c","a","c","a"
"65","b","c","b","b","a","c","b","b","c","c","b","c","b","c","a","a","b","b","a"
"66","a","c","a","a","b","a","a","b","c","c","c","a","b","c","c","a","c","c","a"
"67","b","a","a","b","a","c","a","a","a","b","b","c","b","c","a","a","b","a","c"
"68","c","c","b","a","a","a","a","a","b","b","c","c","c","a","b","a","c","a","c"
"69","c","c","b","a","a","a","a","c","b","c","c","c","c","c","c","b","a","a","a"
"70","b","c","c","b","a","c","a","a","a","a","c","b","a","c","c","a","a","c","a"
"71","b","a","a","c","b","b","a","b","a","b","c","c","a","a","c","a","c","a","b"
"72","a","a","c","b","b","b","b","a","b","a","c","a","b","a","b","b","a","c","a"
"73","b","c","a","b","a","b","a","b","b","a","b","c","c","c","c","a","a","c","a"
"74","b","c","c","b","a","c","b","b","a","b","c","a","b","a","c","a","a","b","a"
"75","c","c","c","a","a","a","a","a","c","b","c","c","a","a","a","a","c","b","a"
"76","b","c","a","c","a","b","a","a","b","b","c","c","b","a","a","c","a","a","a"
"77","b","b","a","b","c","a","b","a","b","a","b","a","c","c","a","a","a","c","a"
"78","a","a","a","b","c","b","b","a","b","b","c","a","b","b","c","a","c","a","b"
"79","c","b","c","b","a","c","b","b","a","b","c","c","c","b","a","a","a","b","a"
"80","b","b","b","c","a","b","b","a","a","b","c","c","b","a","a","a","c","c","b"
"81","b","b","c","c","b","a","c","a","c","c","a","b","a","a","a","b","a","c","a"
"82","a","c","a","c","b","b","a","a","c","a","b","c","c","c","a","c","c","c","a"
"83","a","c","b","b","b","c","a","c","b","b","c","a","b","a","a","a","a","c","a"
"84","c","c","c","a","c","a","a","a","a","b","b","c","b","a","a","a","b","b","c"
"85","b","c","b","b","b","b","b","b","c","c","a","b","a","a","a","a","a","c","a"
"86","a","b","a","a","a","a","a","a","b","b","c","c","c","c","b","a","a","c","a"
"87","b","b","a","b","a","c","a","a","b","b","c","a","b","a","a","c","a","a","a"
"88","b","c","a","b","a","b","a","a","a","a","c","c","a","c","a","a","a","c","c"
"89","a","a","b","c","c","b","a","c","b","b","c","a","c","c","c","c","a","a","c"
"90","a","c","a","a","a","b","a","a","b","b","b","c","a","a","a","b","a","a","c"
"91","a","a","a","b","a","b","b","a","a","b","c","a","b","a","a","b","a","a","a"
"92","a","b","a","a","a","c","a","a","a","b","b","a","c","c","a","a","c","c","a"
"93","b","c","c","c","b","c","a","b","c","b","c","b","b","a","b","b","a","c","a"
"94","a","c","b","b","a","c","b","a","c","b","a","a","a","a","a","a","c","a","b"
"95","b","b","c","b","b","c","a","b","c","b","c","a","b","b","a","a","a","b","a"
"96","c","a","c","b","c","b","b","a","b","b","c","b","a","a","b","a","b","b","c"
"97","b","c","c","b","a","c","a","a","a","b","c","a","b","a","c","c","b","b","b"
"98","c","a","a","b","a","a","a","a","c","b","c","c","b","a","a","c","c","a","b"
"99","a","b","a","a","a","a","a","a","b","b","b","b","a","a","a","a","a","a","c"
"100","b","c","a","b","c","c","a","c","b","c","b","c","c","b","c","a","c","c","a"
"101","c","c","b","b","a","c","b","b","c","b","b","c","a","a","a","a","a","c","a"
