"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","b","a","b","c","c","b","a","a","b","a","b","c","a","a","a","a","c","c","b"
"2","a","c","a","b","a","c","a","a","c","b","c","a","b","c","a","a","a","a","a"
"3","a","a","b","b","c","b","a","c","b","c","c","c","c","c","c","a","b","b","a"
"4","b","a","b","c","a","a","a","c","c","b","c","a","b","a","a","a","a","c","a"
"5","c","a","b","a","b","b","a","b","b","c","c","c","b","c","a","a","c","c","c"
"6","b","c","a","b","c","a","a","b","b","b","a","b","a","a","a","a","a","a","b"
"7","b","a","a","b","c","a","c","b","b","b","c","c","b","a","a","a","a","a","a"
"8","c","b","c","c","b","a","c","a","a","b","c","b","a","b","c","c","a","c","b"
"9","a","a","a","c","c","a","b","a","b","a","c","c","a","a","c","c","c","c","b"
"10","b","b","c","b","a","c","c","a","a","a","c","b","a","a","c","c","a","c","a"
"11","c","c","c","a","c","a","a","c","b","b","b","c","b","c","a","c","a","c","a"
"12","c","b","c","a","b","a","a","b","b","c","b","a","c","a","b","a","a","a","b"
"13","c","a","b","a","a","c","a","a","c","c","b","b","a","a","a","a","a","c","a"
"14","c","c","c","a","b","b","a","a","c","a","c","c","c","c","a","b","c","b","a"
"15","b","c","a","b","c","b","b","a","b","a","a","b","b","c","c","a","c","c","a"
"16","b","b","a","b","a","c","b","c","a","b","c","a","a","a","c","c","a","c","b"
"17","c","a","c","b","c","b","b","a","b","b","b","c","a","a","a","a","b","b","c"
"18","c","b","b","a","a","b","b","c","c","c","c","b","c","c","c","c","c","c","a"
"19","a","c","c","b","c","b","b","a","b","a","b","c","b","c","a","a","c","c","a"
"20","a","a","a","b","b","c","a","b","b","a","b","a","c","c","b","b","b","c","c"
"21","b","a","a","c","b","a","a","b","b","c","a","b","a","c","a","a","a","c","a"
"22","b","b","b","a","b","a","c","c","c","c","c","a","b","c","c","c","a","c","b"
"23","b","c","a","b","a","c","a","a","c","c","a","b","a","a","b","a","a","a","c"
"24","b","b","b","b","a","c","a","a","b","c","a","b","c","c","c","c","c","c","c"
"25","b","c","a","c","c","b","b","a","b","c","b","c","c","c","a","a","a","a","a"
"26","b","c","c","c","c","a","a","a","b","c","a","a","a","c","c","a","c","c","a"
"27","a","b","c","c","a","a","b","b","a","c","b","c","a","a","b","b","b","b","a"
"28","c","c","c","b","a","a","b","a","b","b","c","b","a","c","a","a","a","a","a"
"29","b","c","b","b","a","c","b","b","b","b","a","b","a","a","a","a","c","c","a"
"30","a","a","a","a","a","b","a","a","a","b","c","a","b","c","a","a","c","c","b"
"31","c","c","c","a","a","a","a","a","a","a","c","b","a","a","c","a","b","b","b"
"32","b","a","a","b","b","a","a","b","a","a","b","a","c","c","b","b","a","a","a"
"33","b","a","b","c","c","b","a","c","b","b","c","b","b","a","c","c","a","b","a"
"34","b","b","a","b","a","b","a","a","b","b","a","a","c","c","a","a","a","a","c"
"35","a","a","a","b","c","b","a","c","b","b","a","c","b","c","a","a","a","a","a"
"36","b","c","a","b","b","b","a","b","c","c","b","c","a","a","b","a","b","b","c"
"37","a","a","c","c","c","c","b","a","b","a","a","b","a","b","a","a","a","b","c"
"38","a","a","b","c","c","a","a","a","b","b","c","a","b","c","b","a","b","b","c"
"39","a","a","a","a","a","c","a","a","a","b","c","b","c","c","a","a","c","a","b"
"40","c","a","c","a","a","a","a","a","a","b","c","b","a","a","b","b","b","b","c"
"41","b","a","a","c","c","c","b","a","c","b","b","c","b","a","a","a","a","a","a"
"42","b","a","c","b","c","b","b","a","c","c","a","c","c","c","a","a","c","c","b"
"43","a","a","a","b","b","c","a","b","a","b","c","a","b","c","a","a","a","a","a"
"44","b","c","c","b","a","c","a","a","b","a","c","b","a","a","a","c","a","c","b"
