"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","c","c","b","b","a","a","c","a","c","a","b","c","b","b","b","b","a","b","b"
"2","a","b","b","b","a","c","a","a","a","b","b","c","a","a","b","a","b","b","a"
"3","c","b","b","b","b","c","a","b","c","c","a","b","b","b","a","a","c","c","c"
"4","b","c","b","a","b","a","a","b","b","a","b","c","c","c","b","a","b","c","b"
"5","a","b","a","c","b","b","a","b","c","b","c","c","c","b","a","c","b","a","a"
"6","b","a","a","b","c","c","c","a","b","b","c","a","b","c","a","a","b","a","c"
"7","b","a","a","b","a","a","a","a","b","b","c","b","a","b","b","a","b","a","c"
"8","b","a","a","c","a","b","a","a","b","a","c","b","b","c","a","a","a","b","a"
"9","b","a","a","c","a","a","a","a","c","a","b","a","c","a","a","b","c","c","b"
"10","a","a","c","c","a","b","a","a","b","b","c","b","a","b","b","c","a","a","b"
"11","a","c","a","c","a","a","a","a","c","b","a","a","c","a","c","c","a","b","a"
"12","c","c","c","c","a","c","b","b","c","c","c","b","a","a","c","a","c","c","a"
"13","c","a","b","a","a","a","a","a","b","b","c","b","a","a","c","a","c","c","a"
"14","a","a","a","c","b","b","a","c","c","c","c","c","b","c","b","b","b","b","c"
"15","c","a","a","b","a","b","a","a","c","b","a","b","a","a","a","b","c","a","b"
"16","a","c","c","c","a","c","a","a","b","a","c","a","b","c","c","a","c","c","a"
"17","a","a","a","a","b","b","a","b","a","b","c","b","a","a","b","b","a","a","c"
"18","a","b","a","c","c","a","b","a","c","b","c","c","c","c","b","a","b","a","c"
"19","c","a","a","a","c","b","a","a","b","b","b","c","b","c","a","a","a","a","a"
"20","a","b","a","a","c","a","b","a","c","a","b","c","b","c","a","a","a","c","a"
"21","a","c","c","b","a","c","b","b","c","b","c","a","b","a","c","a","c","b","a"
"22","a","b","a","b","a","b","a","a","a","a","a","b","c","c","a","a","a","c","a"
"23","c","b","b","b","a","b","a","a","b","b","c","b","a","a","a","a","c","c","a"
"24","b","b","c","c","a","a","a","a","c","c","b","c","a","c","c","c","c","c","a"
"25","c","c","c","a","c","b","b","a","b","b","c","b","a","a","b","b","b","b","a"
"26","b","a","a","c","b","b","a","a","a","a","c","b","c","c","a","c","a","c","a"
"27","b","a","b","b","a","a","a","a","c","c","c","a","b","c","c","b","c","c","b"
"28","a","a","a","a","a","b","a","a","a","b","a","b","a","a","a","c","b","a","c"
"29","b","a","a","b","a","a","a","a","c","c","b","a","c","c","c","c","b","a","a"
"30","b","b","a","c","c","b","b","a","b","c","c","c","c","c","c","c","a","b","a"
"31","b","a","a","b","a","a","a","a","b","b","c","a","c","c","a","a","b","a","c"
"32","c","b","c","b","c","c","b","c","b","b","b","c","b","c","b","c","b","b","a"
"33","a","b","c","b","a","a","a","a","a","b","c","b","c","c","a","a","a","a","a"
"34","a","a","a","a","c","a","a","c","b","c","b","c","a","a","b","a","b","b","c"
"35","b","c","a","b","a","c","b","a","c","b","c","b","a","a","b","c","b","a","c"
"36","b","b","c","c","a","b","a","a","b","a","c","a","b","c","c","a","c","c","a"
"37","a","b","a","a","a","b","b","b","a","b","c","c","a","a","a","a","a","a","a"
"38","a","b","a","b","a","c","a","a","a","b","c","b","a","a","a","a","b","a","a"
"39","c","c","b","b","a","b","a","a","b","c","c","b","a","a","c","c","c","c","a"
"40","c","a","c","a","c","b","a","c","b","c","a","b","a","a","a","a","c","c","b"
"41","b","c","b","c","c","a","a","c","a","b","b","c","a","a","a","b","a","c","b"
"42","a","c","a","b","b","a","c","a","b","b","c","b","a","a","b","c","b","a","c"
"43","c","a","b","b","b","c","a","c","c","a","c","b","b","c","c","a","c","c","b"
"44","b","a","b","c","a","a","b","b","b","b","a","b","b","a","b","b","b","c","c"
"45","a","b","a","b","c","a","a","c","b","c","c","b","a","a","b","a","a","b","a"
"46","b","b","c","c","a","b","b","b","c","a","c","b","a","c","b","b","a","c","a"
"47","a","a","a","b","a","b","a","a","c","c","b","c","a","a","a","c","a","b","c"
"48","a","a","a","b","a","c","a","a","a","b","c","b","b","a","a","a","a","a","a"
"49","a","c","c","c","c","a","a","a","b","c","a","b","c","c","c","c","c","c","a"
"50","b","b","a","a","a","a","b","c","a","b","c","c","a","b","a","a","a","a","a"
"51","b","c","b","a","c","a","a","c","b","c","c","b","a","a","c","a","a","a","c"
"52","b","c","c","b","b","b","a","b","b","b","b","a","c","c","b","a","b","c","c"
"53","b","a","a","c","a","b","a","a","c","b","c","a","b","c","b","b","a","a","a"
"54","c","b","b","a","a","b","a","a","a","b","c","a","b","c","b","b","c","c","a"
"55","b","a","a","b","c","c","b","a","b","c","a","b","c","c","a","a","b","b","a"
"56","b","a","c","c","a","b","a","a","c","b","c","b","a","a","b","b","b","a","c"
"57","a","a","a","a","a","b","b","c","b","b","c","b","a","c","b","a","a","a","b"
"58","b","a","c","a","c","b","a","c","b","a","c","a","b","b","b","b","b","b","c"
"59","b","c","b","b","b","c","a","a","a","b","b","c","b","a","a","a","a","c","b"
"60","c","a","c","a","b","b","a","b","c","b","c","a","b","a","b","b","b","b","a"
"61","c","c","c","a","a","a","b","b","c","c","b","c","a","b","b","b","a","c","a"
"62","b","a","c","b","c","a","b","a","c","b","c","c","c","c","c","c","a","b","b"
"63","c","c","c","a","a","c","a","a","c","b","c","b","a","a","c","a","c","a","a"
"64","b","c","b","b","a","b","b","a","b","b","c","a","b","c","c","c","c","c","a"
"65","a","c","b","c","a","a","a","a","b","b","c","b","a","a","b","b","c","a","a"
"66","c","b","c","a","b","a","a","c","a","c","c","a","b","b","c","a","c","c","b"
"67","a","a","c","c","a","b","a","a","b","b","c","c","c","a","a","a","b","b","c"
"68","b","b","a","b","b","c","a","b","b","b","b","c","a","a","b","c","b","a","a"
"69","a","a","a","a","a","a","a","a","b","a","c","c","c","c","c","c","c","c","a"
"70","b","c","a","c","c","a","b","c","b","b","c","b","a","a","a","a","a","c","c"
"71","c","b","a","b","c","a","a","a","b","b","c","a","c","c","a","a","a","a","a"
"72","a","b","c","b","b","c","a","b","b","b","c","b","a","a","c","a","c","c","b"
"73","b","c","b","c","a","a","a","a","a","b","c","a","b","a","b","c","b","a","c"
"74","a","a","a","c","c","b","a","a","b","b","c","a","b","c","c","c","b","a","c"
"75","a","a","a","b","a","c","a","a","b","b","c","a","b","c","c","a","a","a","a"
"76","c","c","c","a","b","a","a","b","c","b","c","c","c","c","a","a","a","b","a"
"77","b","c","a","b","a","c","b","b","b","b","a","b","a","a","a","a","a","a","a"
"78","b","a","b","c","c","a","b","a","c","b","c","b","c","c","c","c","a","a","a"
