"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","X","Y"
"1","b","a","b","c","a","b","c","a","c","b","c","c","a","a","a","a","a","a","c"
"2","a","a","c","c","a","a","a","a","b","b","c","b","a","a","c","c","c","c","b"
"3","b","a","c","c","a","b","a","a","b","b","c","a","b","c","a","a","a","a","b"
"4","a","a","a","c","a","a","c","a","c","b","c","c","b","a","a","b","a","a","a"
"5","a","a","a","a","c","c","a","c","b","b","c","a","b","a","a","c","a","a","a"
"6","b","c","c","c","a","a","a","a","b","c","c","c","b","c","a","a","c","c","a"
"7","a","b","a","c","b","a","a","b","b","b","c","b","a","a","c","a","a","a","a"
"8","a","b","b","c","a","a","a","a","a","c","b","a","b","c","c","a","c","c","a"
"9","a","a","a","c","a","a","a","a","c","b","c","b","a","a","a","b","a","a","a"
"10","c","a","c","b","a","a","a","a","b","b","c","c","b","a","b","b","a","c","b"
"11","c","a","c","a","a","a","a","a","a","b","c","a","b","a","a","a","a","c","a"
"12","b","b","a","c","a","b","a","a","b","b","a","b","b","a","a","a","a","a","a"
"13","c","a","b","a","a","b","a","a","c","b","c","a","a","a","a","a","a","c","a"
"14","c","c","b","a","c","a","a","b","b","b","b","c","c","c","c","c","c","c","a"
"15","b","c","c","a","a","a","a","a","b","b","c","c","b","a","b","a","b","b","b"
"16","a","c","c","c","b","a","b","c","a","b","c","c","b","b","b","b","a","b","a"
"17","a","a","a","a","a","a","a","c","a","b","c","c","c","c","a","a","a","a","b"
"18","a","a","a","b","b","c","a","b","a","b","c","a","b","c","a","a","c","c","c"
"19","a","c","c","b","c","b","a","c","b","b","c","b","a","a","a","a","c","b","a"
"20","a","a","a","a","b","b","a","b","b","b","c","b","a","a","c","a","b","a","c"
"21","c","a","c","b","a","b","a","a","c","b","c","c","b","a","a","a","b","b","c"
"22","c","a","b","b","a","b","b","b","c","a","b","c","a","a","a","a","c","c","b"
"23","c","a","b","a","a","a","a","a","c","b","a","b","a","a","c","a","c","c","b"
"24","b","a","a","c","a","a","a","a","c","b","c","c","c","c","a","a","a","a","a"
"25","b","b","a","a","a","c","a","a","a","c","b","c","a","a","a","b","a","a","a"
"26","a","a","a","b","b","b","a","b","c","a","c","a","b","c","b","b","a","c","a"
"27","a","c","a","b","a","b","b","b","a","b","c","a","b","a","b","b","b","b","c"
